file,original_label,blind_relabel,note
DSC06237,intentional_blur,unintentional_blur,lens dirty
DSC05063,sharp,sharp,just hazy
DSC05865,sharp,sharp,
DSC06956,intentional_blur,intentional_blur,
DSC06416,unintentional_blur,unintentional_blur,
DSC06419,unintentional_blur,sharp,
DSC05658,unintentional_blur,unintentional_blur,
DSC05659,sharp,sharp,
DSC06421,intentional_blur,sharp,
DSC06319,unintentional_blur,unintentional_blur,
DSC06207,intentional_blur,intentional_blur,
DSC05804,intentional_blur,intentional_blur,
DSC05802,unintentional_blur,unintentional_blur,
DSC06424,unintentional_blur,unintentional_blur,
DSC05803,intentional_blur,intentional_blur,
DSC06418,unintentional_blur,unintentional_blur,
DSC06313,unintentional_blur,intentional_blur,
DSC06320,unintentional_blur,unintentional_blur,
DSC06309,intentional_blur,unintentional_blur,
DSC05186,unintentional_blur,unintentional_blur,
DSC05832,unintentional_blur,sharp,
DSC06315,sharp,sharp,
DSC05833,sharp,sharp,
DSC06206,unintentional_blur,unintentional_blur,
DSC06422,intentional_blur,sharp,
DSC06316,sharp,sharp,
DSC05854,sharp,sharp,
DSC06311,unintentional_blur,unintentional_blur,
DSC06211,sharp,sharp,
DSC05866,sharp,sharp,
DSC06420,intentional_blur,sharp,
DSC06417,unintentional_blur,unintentional_blur,
DSC06318,unintentional_blur,unintentional_blur,
DSC06236,intentional_blur,unintentional_blur,
DSC06203,unintentional_blur,unintentional_blur,
DSC06210,sharp,sharp,
DSC06310,intentional_blur,unintentional_blur,
DSC06205,unintentional_blur,unintentional_blur,
DSC06423,unintentional_blur,unintentional_blur,
DSC05861,unintentional_blur,sharp,
DSC05818,unintentional_blur,unintentional_blur,
DSC06314,unintentional_blur,unintentional_blur,
